datetime,open,high,low,close,volume,signals,signal_type
2021-05-25 00:12:00,37902.18,37945.28,37800.0,37809.12,167.616734,-1,tpsl
2021-05-27,39241.92,40411.14,37134.27,38529.98,86547.158794,-1,market
2021-05-31,35641.26,37499.0,34153.84,37253.81,94160.735289,2,market
2021-06-01 13:39:00,36662.07,36663.3,36201.58,36209.41,768.944821,-1,tpsl
2021-06-05,36829.15,37925.0,34800.0,35513.2,70459.62149,-1,market
2021-06-07 07:15:00,36358.25,36900.0,36358.25,36709.64,1013.430218,1,tpsl
2021-06-09,33380.8,37534.79,32396.82,37388.05,136607.597517,1,market
2021-06-10 00:00:00,36295.77,36326.59,36173.61,36201.73,261.432276,-1,tpsl
2021-06-16,40143.8,40527.14,38116.01,38349.01,87771.976937,-1,market
2021-06-17 12:36:00,39145.22,39398.48,39119.99,39340.8,537.207925,1,tpsl
2021-06-23,32509.56,34881.0,31683.0,33678.07,126966.100563,1,market
2021-06-24 01:33:00,33004.05,33011.36,32749.01,32789.73,629.391797,-1,tpsl
2021-06-25,34663.08,35500.0,31275.0,31584.45,116061.130356,-1,market
2021-06-26 00:48:00,32343.01,32470.6,32300.0,32411.44,455.052983,1,tpsl
2021-06-27,32283.65,34749.0,31973.45,34700.34,96613.244211,1,market
2021-06-28 00:00:00,32750.78,32783.46,32656.3,32746.51,152.66342,-1,tpsl
2021-07-01,35045.0,35057.57,32711.0,33504.69,71708.266112,-1,market
2021-07-03 13:12:00,34309.89,34498.0,34286.29,34365.24,595.522271,1,tpsl
2021-07-04,34669.12,35967.85,34357.15,35286.51,43703.475789,1,market
2021-07-05 07:51:00,34428.57,34445.66,34350.0,34376.11,314.945293,-1,tpsl
2021-07-06,33690.15,35118.88,33532.0,34220.01,58210.596349,-1,market
2021-07-07,34220.02,35059.09,33777.77,33862.12,53807.521675,2,market
2021-07-08 11:27:00,33174.86,33174.93,32850.0,32884.56,1045.470192,-1,tpsl
2021-07-10,33815.81,34262.0,33004.78,33502.87,34761.175468,1,market
2021-07-13 18:06:00,32691.12,32695.34,32445.0,32547.51,1245.091234,-1,tpsl
2021-07-21,29790.34,32858.0,29482.61,32144.51,82796.265128,1,market
2021-07-31 05:12:00,41605.22,41888.0,41600.0,41867.63,415.746696,-1,tpsl
2021-08-01,41461.84,42599.0,39422.01,39845.44,53953.186326,-1,market
2021-08-02 00:00:00,41100.0,41159.52,41072.56,41152.33,51.279311,1,tpsl
2021-08-05,39723.17,41350.0,37332.7,40862.46,84343.755621,1,market
2021-08-11,45585.0,46743.47,45341.14,45511.0,52734.901977,-2,market
2021-08-13 18:51:00,46609.98,46666.0,46602.63,46658.9,141.984168,1,tpsl
2021-08-16,46973.82,48053.83,45660.0,45901.29,52480.574014,-1,market
2021-08-17 17:33:00,47019.23,47078.17,46863.0,47065.52,170.509906,1,tpsl
2021-08-19,44699.37,47033.0,43927.7,46760.62,53411.75392,1,market
2021-08-24,49488.85,49860.0,47600.0,47674.01,51014.594748,-2,market
2021-08-25 23:06:00,48865.54,48994.59,48865.53,48967.93,128.83471,1,tpsl
2021-08-28,49069.9,49299.0,48346.88,48895.35,26681.063786,1,market
2021-08-30 17:45:00,47692.77,47739.6,47585.17,47640.01,166.15047,-1,tpsl
2021-09-01,47100.89,49156.0,46512.0,48810.52,49904.65528,1,market
2021-09-07 20:27:00,49020.47,49057.43,47300.0,47374.1,1846.012696,-1,tpsl
